COMP1378;Plant;DOI:10.1371/journal.pone.0015939
COMP1401;Plant;DOI:10.1371/journal.pone.0015939
COMP1375;Plant;DOI:10.1016/j.clpt.2005.03.010
COMP1402;Plant;DOI:10.1016/j.clpt.2005.03.010
COMP1395;Fruit;DOI:10.1016/j.clpt.2005.03.010
COMP1395;Seed;DOI:10.1016/j.clpt.2005.03.010
COMP1395;Plant;DOI:10.1016/j.clpt.2005.03.010
COMP1395;Sprout Seedling;DOI:10.1016/j.clpt.2005.03.010
COMP1395;Bark;DOI:10.1016/j.clpt.2005.03.010
COMP1395;Bud;DOI:10.1016/j.clpt.2005.03.010
COMP1395;Shoot;DOI:10.1016/j.clpt.2005.03.010
COMP1395;Flower Essent. Oil;DOI:10.1016/j.clpt.2005.03.010
COMP1395;Resin, Exudate, Sap;DOI:10.1016/j.clpt.2005.03.010
COMP1395;Root;DOI:10.1016/j.clpt.2005.03.010
COMP1395;Leaf Essent. Oil;DOI:10.1016/j.clpt.2005.03.010
COMP1395;Leaf;DOI:10.1016/j.clpt.2005.03.010
COMP1395;Inflorescence;DOI:10.1016/j.clpt.2005.03.010
COMP1397;Plant;DOI:10.1016/j.clpt.2005.03.010
COMP101;Plant;DOI:10.1016/j.clpt.2005.03.010
COMP1396;Resin, Exudate, Sap;DOI:10.1016/j.clpt.2005.03.010
COMP1396;Plant;DOI:10.1016/j.clpt.2005.03.010
COMP1396;Bud;DOI:10.1016/j.clpt.2005.03.010
COMP1396;Inflorescence;DOI:10.1016/j.clpt.2005.03.010
COMP1396;Root;DOI:10.1016/j.clpt.2005.03.010
COMP1396;Sprout Seedling;DOI:10.1016/j.clpt.2005.03.010
COMP1396;Seed;DOI:10.1016/j.clpt.2005.03.010
COMP1396;Leaf;DOI:10.1016/j.clpt.2005.03.010
COMP1396;Resin Essent. Oil;DOI:10.1016/j.clpt.2005.03.010
COMP1396;Shoot;DOI:10.1016/j.clpt.2005.03.010
COMP1377;Plant;DOI:10.1016/j.clpt.2005.03.010
COMP1377;Root;DOI:10.1016/j.clpt.2005.03.010
COMP1377;Shoot;DOI:10.1016/j.clpt.2005.03.010
